,0,1,2,3,4,5,6
118,2012-05-17 09:01:33,Have you checked out which startups are most attractive to engineers in the valley? http:// blog.linkedin.com/2012/05/17/top -10-tech-engineering-startups/ …,7,2,,,Announcement
119,2012-05-16 19:58:46,Have you checked out our news product's redesign? Check out a post from designer @joannwu - http:// blog.linkedin.com/2012/05/16/lin kedin-today-redesign/ … cc: @linkedintoday,9,6,@joannwu @linkedintoday,,Reply
120,2012-05-16 18:03:54,Special Edition: @LinkedInToday brings you everything you need to know about Facebook's IPO all in one place. http:// linkd.in/Kc8GsQ,16,6,@LinkedInToday,,Reply
121,2012-05-16 14:11:38,6 Things You Need to Know About LinkedIn Recommendations. How many recommendations do you have? http:// on.mash.to/KmBY8M (via @mashable ),44,14,@mashable,,Reply
122,2012-05-16 13:07:16,"""Next play"", our company mantra. Tom McNichol's behind the scenes guest blog truly captures the spirit of LinkedIn. http:// bit.ly/Kmr3vP",4,0,,,Announcement
123,2012-05-15 14:19:01,What's the worst interview question you've heard? Chime in on this active LinkedIn Groups discussion. http:// lnkd.in/kizfnF,6,0,,,Announcement
124,2012-05-15 12:24:04,"“It’s really about building an interesting collection of people around you,” ~ @HeidiRoizen on #networking http:// tnw.co/L3rNoe",24,10,@HeidiRoizen,#networking,Reply
125,2012-05-14 20:01:22,"If you spent 9 minutes a day investing in your career, what would you do? http:// bit.ly/Kb5NqO (via @williamarruda )",31,19,@williamarruda,,Reply
126,2012-05-14 17:44:33,5 workplace etiquette tips for young professionals with advice from @thegirlontop & @greatonthejob . http:// bit.ly/Jr5izk,37,10,@thegirlontop @greatonthejob,,Reply
127,2012-05-14 13:04:09,Excited to introduce LinkedIn for Windows Phone. Take it for a spin & let us know what you think! http:// bit.ly/JbGtri cc: @CohenTomer,22,5,@CohenTomer,,Reply
128,2012-05-11 14:59:46,@LifeOfLulu @McDonalds @RMHC Good luck!,3,0,@LifeOfLulu @McDonalds @RMHC,,Reply
129,2012-05-11 13:10:15,Any of these sound familiar? The 8 Things You Do Wrong On #LinkedIn via @MollyCain http:// onforb.es/KNnkft,34,16,@MollyCain,#LinkedIn,Reply
130,2012-05-11 11:16:59,"Must Watch Video: Our CEO @jeffweiner on ""The Next Human Leap: Closing the Gap Between Talent & Opportunity"" http:// bit.ly/JIPLXh",22,10,@jeffweiner,,Reply
131,2012-05-11 00:36:29,"You should be able to access our stabilized iPad app, while our team works through some final issues. Thanks for your patience!",10,0,,,Announcement
132,2012-05-10 21:35:19,Our iPad app is currently experiencing some issues. The team is working hard to resolve. Stay tuned.,7,1,,,Announcement
133,2012-05-10 17:59:11,"Have you used LinkedIn to get the scoop on new clients or partners? ""LinkedIn: Reading Between the Lines"" via @Inc http:// bit.ly/IFPQKQ",24,4,@Inc,,Reply
134,2012-05-10 16:37:07,@PhilipHotchkiss Maybe you can write rating #249 ;),0,0,@PhilipHotchkiss,#249,Reply
135,2012-05-10 12:57:02,@allianceenviro Exactly ;),1,0,@allianceenviro,,Reply
136,2012-05-10 12:48:24,"""To."" The one-word pocket tweet from our CEO @jeffweiner that kicked off a hilarious Twitter thread last night. http:// read.bi/LqfN2X",14,3,@jeffweiner,,Reply
137,2012-05-10 12:08:50,Thinking about making a career switch? Check out these 8 tips to get started via @greatonthejob . http:// bit.ly/KO3o6D,18,11,@greatonthejob,,Reply
138,2012-05-09 19:27:45,Check out @LinkedInJapan 's navi [JP] to see a professional interview with Japanese actor @Iseya_Yusuke . http:// bit.ly/IZ2tFR,21,13,@LinkedInJapan @Iseya_Yusuke,,Reply
139,2012-05-09 17:32:52,Permanent beta: Why your career is a work in progress. An excerpt worth reading from @StartUpofYou . http:// bit.ly/K3jOZk (via @CNN ),22,8,@StartUpofYou @CNN,,Reply
140,2012-05-09 15:48:47,"Got a LinkedIn recommendation that isn't quite right? Here's some advice on how to handle it, thx to @NBCChicago . http:// bit.ly/IUAHc9",19,13,@NBCChicago,,Reply
141,2012-05-09 15:43:39,@irohan Thanks for the feedback!,0,0,@irohan,,Reply
142,2012-05-09 15:39:58,Great tips on how to be a good boss to your #intern via @thegirlontop . Have any others? http:// bit.ly/IUzQbH,13,10,@thegirlontop,#intern,Reply
143,2012-05-09 15:36:01,"@MichelleNasrah @Jenn_Yen Nice, welcome to LinkedIn!",0,0,@MichelleNasrah @Jenn_Yen,,Reply
144,2012-05-09 13:38:11,"Have you downloaded our iPad app? RT @hillens : whoa, @LinkedIn for iPad is top free app in the App Store http:// twitpic.com/9j6jaz",10,8,@hillens @LinkedIn,,Reply
145,2012-05-09 11:46:25,How important is workplace culture to you when choosing a new job? http:// bit.ly/JfgwTO (Trending story via @LinkedInToday ),32,8,@LinkedInToday,,Reply
146,2012-05-08 12:49:56,Graduation season is here. What career advice do you have for the Class of 2012? http:// on.wsj.com/JcIL5u (via @LinkedInToday ),10,2,@LinkedInToday,,Reply
147,2012-05-07 16:31:44,RT @jeffweiner Had the privilege of speaking to the Bay Area Council re: closing the gap between talent and opportunity http:// lnkd.in/dgsN3U,3,0,@jeffweiner,,Reply
148,2012-05-07 12:36:48,Looking for a job? Check out these great tips & resources for #jobseekers . http:// bit.ly/JbFRMI,55,33,,#jobseekers,Announcement
149,2012-05-05 11:12:17,@Social_Sauce Thanks for the awesome birthday song!,3,1,@Social_Sauce,,Reply
150,2012-05-05 11:00:06,"9 years ago today, LinkedIn was founded on the belief that relationships matter. We are now 161mm members strong thanks to YOU. #linkodemayo",142,18,,#linkodemayo,Announcement
151,2012-05-04 17:28:22,"""How To Sync Your Calendar With LinkedIn's New iPad App"" RT @mejoff Love this video http:// bit.ly/IKyjEU (via @businessinsider )",7,5,@mejoff @businessinsider,,Reply
152,2012-05-04 12:07:49,"Excited to welcome @Slideshare to the LinkedIn family. In case you missed it, here's the official presentation. http:// slidesha.re/IHxfTx",40,8,@Slideshare,,Reply
153,2012-05-03 17:32:19,We're now in the Q&A session. Thanks for joining us in the past hour. Check out the deck from the earnings call here - http://www. slideshare.net/linkedin/linke dins-q1-2012-earnings …,6,4,,,Announcement
154,2012-05-03 17:30:41,"Our CEO, @jeffweiner , led the call with CFO Steve Sordello. In the meanwhile, check out more details here. http:// stks.co/3f8G $ LNKD",2,1,@jeffweiner,,Reply
155,2012-05-03 17:30:22,"Premium Subscriptions revenue accelerated for the eighth straight quarter to $38M, 91% YOY growth. $ LNKD http:// dcl.sr/19y",2,2,,,Announcement
156,2012-05-03 17:30:14,Hiring Solutions remains our largest & fastest growing product area and represented 54% of revenue versus 49% last year http:// dcl.sr/19w,8,4,,,Announcement
157,2012-05-03 17:30:05,"In the first quarter, Hiring Solutions crossed the $100M milestone to $103M, an increase of 121% over the prior yr. http:// dcl.sr/19u",2,2,,,Announcement
158,2012-05-03 17:29:54,"Turning to our financial results, revenue increased by over 100% for the 7th straight quarter to $188 million. $ LNKD http:// dcl.sr/19s",4,2,,,Announcement
159,2012-05-03 17:29:40,"Jeff mentioned that we crossed 161M members in the first quarter, growth of 58% YOY. $ LNKD http:// dcl.sr/19q",4,2,,,Announcement
160,2012-05-03 17:29:30,"Also, here are updates from or CFO Steve Sordello's deep dive into operating metrics and financials. $ LNKD http:// dcl.sr/19o",4,3,,,Announcement
